Date,Composite,Equity,Event,Macro,Relative
5-Jan,0.25%,0.41%,0.23%,-0.67%,0.23%
5-Feb,1.88%,2.49%,1.13%,1.67%,0.65%
5-Mar,-0.92%,-1.18%,-0.07%,-1.32%,-0.51%
5-Apr,-1.19%,-1.35%,-1.10%,-1.02%,-0.85%
5-May,0.71%,1.03%,0.53%,1.30%,-0.38%
5-Jun,1.50%,1.82%,1.31%,1.34%,0.76%
5-Jul,2.09%,2.62%,1.57%,0.83%,1.39%
5-Aug,0.90%,1.16%,1.06%,-0.15%,0.53%
5-Sep,2.27%,2.90%,0.95%,2.67%,1.01%
5-Oct,-1.34%,-1.88%,-1.56%,-0.13%,-0.12%
5-Nov,1.76%,2.41%,1.04%,2.00%,0.17%
5-Dec,2.06%,2.87%,1.10%,0.68%,0.81%
6-Jan,3.26%,3.92%,2.40%,2.86%,1.94%
6-Feb,0.54%,0.43%,0.68%,0.01%,1.05%
6-Mar,1.82%,2.17%,1.73%,0.98%,1.20%
6-Apr,2.01%,2.45%,1.05%,2.22%,1.23%
6-May,-1.94%,-2.95%,-0.25%,-2.47%,0.26%
6-Jun,-0.29%,-0.69%,0.05%,0.29%,0.39%
6-Jul,-0.06%,-0.10%,-0.46%,-0.46%,0.47%
6-Aug,1.02%,1.16%,1.12%,0.92%,0.60%
6-Sep,0.19%,0.22%,0.27%,-0.34%,0.31%
6-Oct,1.87%,2.23%,2.05%,1.51%,0.95%
6-Nov,2.05%,2.52%,2.03%,1.41%,1.07%
6-Dec,1.98%,2.28%,2.04%,1.91%,1.14%
7-Jan,1.14%,1.09%,1.61%,0.87%,1.11%
7-Feb,0.78%,0.83%,1.27%,-0.92%,1.15%
7-Mar,1.13%,1.36%,1.44%,-0.29%,1.00%
7-Apr,1.79%,2.04%,1.60%,2.10%,1.07%
7-May,2.26%,2.53%,2.09%,3.14%,1.16%
7-Jun,1.19%,1.59%,0.03%,1.80%,0.43%
7-Jul,0.59%,1.35%,-0.26%,-0.76%,-0.34%
7-Aug,-1.96%,-2.09%,-1.36%,-3.08%,-1.37%
7-Sep,2.49%,3.17%,1.22%,2.19%,1.49%
7-Oct,2.87%,3.22%,3.00%,2.77%,1.88%
7-Nov,-2.21%,-2.81%,-1.73%,-0.89%,-1.46%
7-Dec,0.41%,0.59%,0.08%,0.05%,0.31%
8-Jan,-2.94%,-4.90%,-2.02%,0.25%,-0.83%
8-Feb,1.69%,1.83%,0.39%,4.07%,-0.46%
8-Mar,-2.39%,-2.60%,-1.77%,-1.17%,-3.43%
8-Apr,1.58%,2.23%,0.98%,0.14%,1.56%
8-May,1.79%,2.17%,1.69%,1.14%,1.39%
8-Jun,-1.31%,-2.47%,-0.94%,0.84%,-0.31%
8-Jul,-2.53%,-3.20%,-2.11%,-2.26%,-1.08%
8-Aug,-1.76%,-2.56%,-0.94%,-1.51%,-0.21%
8-Sep,-6.06%,-7.79%,-6.31%,-1.56%,-5.90%
8-Oct,-6.88%,-8.55%,-9.26%,0.90%,-9.54%
