Rank,Year,Team,Total Payroll,Adj. for Inflation,Wins,Conference Finals
1,2011,LA Lakers,"$88,264,478 ","$100,806,814 ",0.621,No
2,2011,Orlando,"$87,955,505 ","$100,453,936 ",0.561,No
3,2011,Portland,"$80,920,717 ","$92,419,505 ",0.424,No
4,2011,Phoenix,"$80,640,576 ","$92,099,560 ",0.5,No
5,2011,Boston,"$79,820,530 ","$91,162,985 ",0.591,Yes
6,2011,Dallas,"$77,180,233 ","$88,147,505 ",0.545,No
7,2011,New York,"$77,093,212 ","$88,048,116 ",0.545,No
8,2011,Miami,"$75,469,639 ","$86,193,835 ",0.697,Yes
9,2011,San Antonio,"$73,732,762 ","$84,210,148 ",0.758,Yes
10,2011,Atlanta,"$73,669,912 ","$84,138,365 ",0.606,No
11,2011,Detroit,"$70,923,605 ","$81,001,811 ",0.379,No
12,2011,Memphis,"$70,628,007 ","$80,664,209 ",0.621,No
13,2011,Chicago,"$69,548,447 ","$79,431,243 ",0.758,No
14,2011,LA Clippers,"$67,333,389 ","$76,901,427 ",0.606,No
15,2011,Philadelphia,"$66,672,368 ","$76,146,474 ",0.53,No
16,2011,New Orleans,"$65,441,008 ","$74,740,139 ",0.318,No
17,2011,Brooklyn,"$65,281,235 ","$74,557,660 ",0.333,No
18,2011,Cleveland,"$64,875,599 ","$74,094,385 ",0.318,No
19,2011,Golden State,"$61,576,901 ","$70,326,943 ",0.348,No
20,2011,Milwaukee,"$60,192,388 ","$68,745,693 ",0.47,No
21,2011,Oklahoma City,"$59,501,709 ","$67,956,869 ",0.712,Yes
22,2011,Denver,"$58,553,173 ","$66,873,548 ",0.576,No
23,2011,Utah,"$58,178,016 ","$66,445,081 ",0.545,No
24,2011,Charlotte,"$57,902,024 ","$66,129,870 ",0.106,No
25,2011,Houston,"$57,021,755 ","$65,124,515 ",0.515,No
26,2011,Minnesota,"$56,844,339 ","$64,921,888 ",0.394,No
27,2011,Washington,"$55,386,345 ","$63,256,713 ",0.303,No
28,2011,Toronto,"$55,063,049 ","$62,887,477 ",0.348,No
29,2011,Indiana,"$51,554,083 ","$58,879,888 ",0.636,No
30,2011,Sacramento,"$48,950,236 ","$55,906,037 ",0.333,No
1,2012,LA Lakers,"$100,131,988 ","$112,488,883 ",0.549,No
2,2012,Brooklyn,"$87,644,649 ","$98,460,530 ",0.598,No
3,2012,Miami,"$80,427,933 ","$90,353,229 ",0.805,Yes
4,2012,New York,"$79,977,119 ","$89,846,778 ",0.659,No
5,2012,Boston,"$75,508,399 ","$84,826,589 ",0.506,No
6,2012,Chicago,"$74,491,280 ","$83,683,955 ",0.549,No
7,2012,Golden State,"$70,036,985 ","$78,679,974 ",0.573,No
8,2012,San Antonio,"$69,838,600 ","$78,457,104 ",0.707,Yes
9,2012,Dallas,"$69,766,571 ","$78,376,184 ",0.5,No
10,2012,LA Clippers,"$69,152,721 ","$77,686,584 ",0.683,No
11,2012,Oklahoma City,"$68,924,100 ","$77,429,752 ",0.732,No
12,2012,Detroit,"$68,807,497 ","$77,298,758 ",0.354,No
13,2012,Atlanta,"$66,710,178 ","$74,942,614 ",0.537,No
14,2012,Philadelphia,"$66,697,839 ","$74,928,756 ",0.415,No
